Sample	Series	Platform	Speak	Breakpoint_CNA	Breakpoint_CBS	Spread	Label
GSM255291	GSE10099	GPL2005	4.86272882895362	13	33	0.312828937105089	1
GSM255297	GSE10099	GPL2005	3.46538812565166	7	38	0.336377362262811	1
GSM255305	GSE10099	GPL2005	4.0340680637942	8	33	0.308027145761	1
GSM255312	GSE10099	GPL2005	4.78162523386492	20	48	0.320600271488978	1
GSM255313	GSE10099	GPL2005	3.85897327951855	21	30	0.322502584858605	1
GSM255488	GSE10099	GPL2005	2.41132282921088	32	58	0.331842305526641	1
GSM255496	GSE10099	GPL2005	4.34701494153023	11	51	0.274738078045818	1
GSM255497	GSE10099	GPL2005	4.88001388889844	30	50	0.276082308745255	1
GSM255504	GSE10099	GPL2005	4.23886964879511	14	47	0.275167484703816	1
GSM255520	GSE10099	GPL2005	3.20055436515488	14	29	0.270200136340137	1
GSM255525	GSE10099	GPL2005	3.9913950879394	34	39	0.26640518079038	1
GSM255534	GSE10099	GPL2005	6.48412301313338	32	47	0.382536572403654	1
GSM255558	GSE10099	GPL2005	4.44759078431681	23	35	0.312686964902353	1
GSM255559	GSE10099	GPL2005	4.92247046757881	38	65	0.304652255736535	1
GSM255563	GSE10099	GPL2005	1.64000624917306	15	28	0.327442286001776	1
GSM255599	GSE10099	GPL2005	1.68231802367094	120	26	0.257412359702818	1
GSM255610	GSE10099	GPL2005	3.80733921864054	46	87	0.265360221288683	1
GSM255617	GSE10099	GPL2005	3.29316594339308	32	74	0.284423816986382	1
GSM255623	GSE10099	GPL2005	3.03853858697142	20	48	0.281591014216653	1
GSM262537	GSE10387	GPL2005	3.84769337097254	23	49	0.364925173670335	1
GSM262547	GSE10387	GPL2005	2.38192223345093	17	56	0.365976100612674	1
GSM272459	GSE10792	GPL2005	5.01645186114103	9	22	0.322971057889511	1
GSM272461	GSE10792	GPL2005	3.2763883510512	11	25	0.342584163235832	1
GSM276856	GSE10922	GPL2005	8.38973041118737	43	29	0.24076233461776	1
GSM276858	GSE10922	GPL2005	6.95253551069475	20	45	0.327495989708226	1
GSM276862	GSE10922	GPL2005	3.71677842874654	40	49	0.260982513814411	1
GSM276872	GSE10922	GPL2005	3.02581540824539	17	35	0.297053850493668	1
GSM276874	GSE10922	GPL2005	4.79721533471152	17	35	0.282528864716425	1
GSM276876	GSE10922	GPL2005	4.24218321083529	26	35	0.285052057407624	1
GSM276880	GSE10922	GPL2005	3.2665950171492	21	62	0.309405235709991	1
GSM278048	GSE7130	GPL2005	3.98006346915466	24	51	0.270405286454682	1
GSM278070	GSE7130	GPL2005	34.6965563664588	28	41	0.210456441295738	1
GSM278078	GSE7130	GPL2005	9.71169225137761	18	34	0.258693636832994	1
GSM288037	GSE11417	GPL2005	3.01819714317899	21	51	0.298366109547671	1
GSM288049	GSE11417	GPL2005	4.1071207471341	10	33	0.261102727897276	1
GSM288050	GSE11417	GPL2005	1.54235786670779	119	22	0.23819815197598	1
GSM288058	GSE11417	GPL2005	1.69577421841165	120	23	0.179206350745769	1
GSM288068	GSE11417	GPL2005	1.66627998605513	120	22	0.140919168219255	1
GSM288081	GSE11417	GPL2005	2.94672031812059	16	45	0.282519974375158	1
GSM288105	GSE11417	GPL2005	5.19941818243856	18	89	0.225421949406627	1
GSM288106	GSE11417	GPL2005	1.46146076107209	118	24	0.164640406448324	1
GSM288137	GSE11417	GPL2005	3.8349894405176	30	30	0.325676981230691	1
GSM288141	GSE11417	GPL2005	4.24131452554525	14	24	0.280162562664224	1
GSM288143	GSE11417	GPL2005	2.86641610133869	12	34	0.281779394818927	1
GSM288145	GSE11417	GPL2005	4.87944693406255	25	56	0.30467159362855	1
GSM288147	GSE11417	GPL2005	3.77476540677975	26	42	0.347757634253372	1
GSM288177	GSE11417	GPL2005	6.3800415293124	23	41	0.299113751766627	1
GSM344393	GSE13696	GPL2005	3.86043725401465	43	44	0.334536650165115	1
GSM344394	GSE13696	GPL2005	6.77802116978004	32	68	0.312027741148968	1
GSM344398	GSE13696	GPL2005	5.37371150286055	33	51	0.360408942673833	1
GSM344422	GSE13696	GPL2005	9.31081912834807	29	55	0.346665555479489	1
GSM344429	GSE13696	GPL2005	3.75896585008538	46	89	0.319431840259223	1
GSM344433	GSE13696	GPL2005	6.82106844197141	25	48	0.331343001610256	1
GSM347489	GSE13813	GPL2005	4.87287013405377	17	23	0.391349598330751	1
GSM347502	GSE13813	GPL2005	3.77758279713892	40	60	0.366904972454074	1
GSM347515	GSE13813	GPL2005	9.33269534621252	14	55	0.313151443632533	1
GSM347530	GSE13813	GPL2005	7.14208451502908	27	37	0.369494767231121	1
GSM347532	GSE13813	GPL2005	9.04196233133322	21	25	0.307436049950474	1
GSM347534	GSE13813	GPL2005	4.68936589533852	46	67	0.347042161095109	1
GSM347560	GSE13813	GPL2005	4.25098956140899	40	68	0.37280952140016	1
GSM347568	GSE13813	GPL2005	3.81161065507544	9	35	0.317176881346026	1
GSM347577	GSE13813	GPL2005	3.99055433298154	27	67	0.361833421565393	1
GSM347585	GSE13813	GPL2005	9.12086711666158	11	24	0.294434308713125	1
GSM360509	GSE14437	GPL2005	9.28741597101582	15	23	0.346015627046609	1
GSM360521	GSE14437	GPL2005	5.25920012854635	24	30	0.327889673377361	1
GSM360544	GSE14437	GPL2005	3.72924272003943	13	26	0.326706269514618	1
GSM364608	GSE14579	GPL2005	4.569643561806	31	38	0.344927603900238	1
GSM364611	GSE14579	GPL2005	5.4842686846261	23	55	0.359869550771947	1
GSM370559	GSE14804	GPL2005	4.21222730566213	30	67	0.289268217793655	1
GSM370561	GSE14804	GPL2005	5.64663088502987	32	74	0.366510240515378	1
GSM375366	GSE14860	GPL2005	3.58585013092254	42	59	0.357580209733725	1
GSM403337	GSE16121	GPL2005	2.92799170630435	15	43	0.329937986333327	1
GSM403338	GSE16121	GPL2005	2.83692669181221	11	30	0.297841940971203	1
GSM403342	GSE16121	GPL2005	5.333593844515	19	56	0.305294802513658	1
GSM403347	GSE16121	GPL2005	4.50416046196698	25	68	0.303152567106674	1
GSM403354	GSE16121	GPL2005	7.27501602954256	18	37	0.375308487969299	1
GSM403355	GSE16121	GPL2005	4.77672669820982	17	50	0.351813618333334	1
GSM403357	GSE16121	GPL2005	4.33679004619188	10	46	0.275279258407859	1
GSM455997	GSE18252	GPL2005	5.36721198904462	30	59	0.2733042697272	1
GSM456015	GSE18252	GPL2005	3.15328290676451	21	49	0.312754132211377	1
GSM456021	GSE18252	GPL2005	9.79279173872593	30	48	0.339083607414314	1
GSM456025	GSE18252	GPL2005	4.13243449988277	14	33	0.343232561723282	1
GSM456029	GSE18252	GPL2005	4.04552122376886	25	65	0.339283102203352	1
GSM456055	GSE18252	GPL2005	3.54973970433935	46	59	0.341577416594644	1
GSM456065	GSE18252	GPL2005	6.40974546062891	22	54	0.321358257441752	1
GSM456073	GSE18252	GPL2005	3.07472194852932	23	45	0.337532012274106	1
GSM456077	GSE18252	GPL2005	6.28684758901257	35	37	0.320885298668947	1
GSM456085	GSE18252	GPL2005	4.09844525166717	13	41	0.308498102777402	1
GSM456091	GSE18252	GPL2005	2.55988306576503	8	43	0.315950157086101	1
GSM510350	GSE20376	GPL2005	8.72868511806457	12	26	0.367879335230388	1
GSM514217	GSE20481	GPL2005	4.93713764675915	24	39	0.278611440190633	1
GSM514218	GSE20481	GPL2005	4.33567941843552	29	41	0.366708505718567	1
GSM514238	GSE20481	GPL2005	2.25525108687063	9	51	0.370093909934081	1
GSM514241	GSE20481	GPL2005	3.37984432581433	16	36	0.31781938862286	1
GSM514246	GSE20481	GPL2005	4.13382173433564	31	33	0.387336526417878	1
GSM514256	GSE20481	GPL2005	3.3508038290403	19	37	0.323692693870005	1
GSM514263	GSE20481	GPL2005	3.94998579140505	22	33	0.351967470850188	1
GSM514267	GSE20481	GPL2005	5.97897937852081	14	52	0.246782075887068	1
GSM514271	GSE20481	GPL2005	4.41989812299556	22	38	0.375978655537596	1
GSM514276	GSE20481	GPL2005	4.20020014495604	12	43	0.391226283111473	1
GSM514285	GSE20481	GPL2005	2.63374538455387	18	48	0.39147184019041	1
GSM514342	GSE20481	GPL2005	6.10847850458907	36	61	0.319743706217074	1
GSM514348	GSE20481	GPL2005	5.76742076798455	27	60	0.305887160997221	1
GSM514350	GSE20481	GPL2005	4.21334658499357	36	89	0.307221048927257	1
GSM514356	GSE20481	GPL2005	4.46115245727319	35	53	0.341094140278695	1
GSM514358	GSE20481	GPL2005	2.96495222659896	19	49	0.29130993999322	1
GSM514359	GSE20481	GPL2005	3.12076793413042	40	74	0.353801256052666	1
GSM514361	GSE20481	GPL2005	4.93186547463961	29	60	0.260511294455572	1
GSM514362	GSE20481	GPL2005	6.95895065954442	29	46	0.293445990152825	1
GSM514370	GSE20481	GPL2005	3.58169298310887	24	38	0.342680327553901	1
GSM514375	GSE20481	GPL2005	4.05032177898828	24	71	0.320493853826396	1
GSM514381	GSE20481	GPL2005	5.57959488686952	68	71	0.256131996125791	1
